game_id,game_type,game_date,player_id,active_inactive,team_id,opp_team_id,home_away,win_loss,minutes_played,field_goals_made,field_goals_attempted,field_goals_percentage,three_pointers_made,three_pointers_attempted,three_pointers_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,points,plus_minus,minutes_played_clean_up
130,Regular Season,2023-01-30,2,Active,BRK,LAL,Home,W,38.53,7,16,0.438,3,7,0.429,9,11,0.818,1,6,6,2,1,2,4,26,10,38.53333333
131,Regular Season,2023-02-01,2,Active,BRK,BOS,Away,L,31.02,9,18,0.5,1,7,0.143,1,1,1,0,4,4,0,1,3,2,20,-31,31.01666667
132,Regular Season,2023-02-04,2,Inactive,BRK,WAS,Home,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,Regular Season,2023-02-06,2,Inactive,DAL,UTA,Away,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,Regular Season,2023-02-08,2,Active,DAL,LAC,Away,W,36.8,9,17,0.529,4,8,0.5,2,2,1,0,4,5,1,1,5,3,24,11,36.8
135,Regular Season,2023-02-10,2,Active,DAL,SAC,Away,W,35,5,14,0.357,3,8,0.375,12,12,1,3,0,10,1,0,2,2,25,7,35
136,Regular Season,2023-02-11,2,Active,DAL,SAC,Away,L,41.87,11,21,0.524,4,10,0.4,2,2,1,1,6,7,1,1,1,5,28,7,41.86666667
137,Regular Season,2023-02-13,2,Active,DAL,MIN,Home,L,39.08,15,23,0.652,4,9,0.444,2,2,1,2,3,6,2,1,2,2,36,1,39.08333333
138,Regular Season,2023-02-15,2,Inactive,DAL,DEN,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,Regular Season,2023-02-23,2,Active,DAL,SAS,Home,W,29.97,8,13,0.615,3,4,0.75,4,4,1,0,1,6,1,0,1,3,23,34,29.96666667
140,Regular Season,2023-02-26,2,Active,DAL,LAL,Home,L,37.85,8,22,0.364,2,10,0.2,3,3,1,3,8,5,0,0,3,4,21,-6,37.85
141,Regular Season,2023-02-28,2,Active,DAL,IND,Home,L,36.38,7,18,0.389,0,4,0,2,3,0.667,2,3,9,1,1,0,4,16,8,36.38333333
142,Regular Season,2023-03-02,2,Active,DAL,PHI,Home,W,42.3,15,22,0.682,6,8,0.75,4,6,0.667,0,4,6,3,0,2,3,40,15,42.3
143,Regular Season,2023-03-05,2,Active,DAL,PHO,Home,L,36.07,10,19,0.526,3,8,0.375,7,7,1,2,2,7,0,0,3,3,30,-5,36.06666667
144,Regular Season,2023-03-07,2,Active,DAL,UTA,Home,W,38.07,10,18,0.556,3,7,0.429,10,10,1,0,6,8,2,0,3,2,33,7,38.06666667
145,Regular Season,2023-03-08,2,Active,DAL,NOP,Away,L,41.1,10,24,0.417,4,11,0.364,3,3,1,0,6,4,1,0,2,3,27,0,41.1
146,Regular Season,2023-03-11,2,Inactive,DAL,MEM,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,Regular Season,2023-03-13,2,Inactive,DAL,MEM,Home,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,Regular Season,2023-03-15,2,Inactive,DAL,SAS,Away,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,Regular Season,2023-03-17,2,Active,DAL,LAL,Away,W,38.63,14,23,0.609,5,9,0.556,5,5,1,1,5,6,0,0,2,5,38,11,38.63333333
150,Regular Season,2023-03-20,2,Active,DAL,MEM,Away,L,33.37,10,24,0.417,2,9,0.222,6,6,1,0,4,0,1,2,2,2,28,-7,33.36666667
151,Regular Season,2023-03-22,2,Inactive,DAL,GSW,Home,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,Regular Season,2023-03-24,2,Active,DAL,CHO,Home,L,38.48,6,16,0.375,1,8,0.125,5,7,0.714,3,6,7,1,1,1,0,18,-10,38.48333333
153,Regular Season,2023-03-26,2,Active,DAL,CHO,Away,L,35.05,5,15,0.333,2,6,0.333,6,6,1,0,4,3,2,1,2,3,18,-8,35.05
154,Regular Season,2023-03-27,2,Active,DAL,IND,Away,W,29.08,7,11,0.636,1,2,0.5,1,1,1,1,2,6,2,3,0,2,16,26,29.08333333
155,Regular Season,2023-03-29,2,Active,DAL,PHI,Away,L,40.1,8,17,0.471,3,7,0.429,4,4,1,1,5,5,2,0,1,1,23,-1,40.1
156,Regular Season,2023-04-01,2,Active,DAL,MIA,Away,L,42.05,10,17,0.588,1,4,0.25,2,2,1,0,3,8,0,0,1,3,23,4,42.05
157,Regular Season,2023-04-02,2,Active,DAL,ATL,Away,L,44.37,16,27,0.593,1,6,0.167,8,8,1,2,3,4,2,1,1,3,41,-6,44.36666667
158,Regular Season,2023-04-05,2,Active,DAL,SAC,Home,W,43.38,12,23,0.522,6,10,0.6,1,1,1,0,4,8,2,0,3,3,31,8,43.38333333
159,Regular Season,2023-04-07,2,Inactive,DAL,CHI,Home,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,Regular Season,2023-04-09,2,Inactive,DAL,SAS,Home,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,Regular Season,2022-10-19,3,Active,PHO,DAL,Home,W,40.62,10,20,0.5,1,1,1,7,7,1,1,3,9,0,1,2,3,28,20,40.61666667
162,Regular Season,2022-10-21,3,Active,PHO,POR,Away,L,43.92,11,23,0.478,3,7,0.429,8,9,0.889,0,5,3,1,0,2,1,33,-2,43.91666667
163,Regular Season,2022-10-23,3,Active,PHO,LAC,Away,W,34.82,13,21,0.619,5,9,0.556,4,4,1,1,0,4,1,0,3,1,35,13,34.81666667
164,Regular Season,2022-10-25,3,Active,PHO,GSW,Home,W,35.32,10,19,0.526,3,8,0.375,11,14,0.786,1,1,7,3,0,3,3,34,32,35.31666667
165,Regular Season,2022-10-28,3,Active,PHO,NOP,Home,W,32.6,6,14,0.429,0,4,0,4,4,1,0,5,4,0,0,5,1,16,4,32.6
166,Regular Season,2022-10-30,3,Active,PHO,HOU,Home,W,35.38,14,24,0.583,1,7,0.143,1,3,0.333,1,2,6,1,0,1,2,30,11,35.38333333
167,Regular Season,2022-11-01,3,Active,PHO,MIN,Home,W,30.43,6,18,0.333,2,7,0.286,4,5,0.8,1,6,5,0,1,2,5,18,11,30.43333333
168,Regular Season,2022-11-04,3,Active,PHO,POR,Home,L,38.37,8,21,0.381,3,7,0.429,6,6,1,0,5,5,1,1,5,3,25,3,38.36666667
169,Regular Season,2022-11-05,3,Active,PHO,POR,Home,W,29.02,9,20,0.45,2,7,0.286,4,4,1,1,2,3,1,2,1,2,24,19,29.01666667
170,Regular Season,2022-11-07,3,Active,PHO,PHI,Away,L,43.4,8,16,0.5,1,1,1,11,14,0.786,2,5,5,1,0,6,2,28,-9,43.4
171,Regular Season,2022-11-09,3,Active,PHO,MIN,Away,W,38.02,12,23,0.522,5,7,0.714,3,3,1,0,4,10,2,0,1,2,32,26,38.01666667
172,Regular Season,2022-11-11,3,Active,PHO,ORL,Away,L,34.47,6,19,0.316,2,8,0.25,3,3,1,3,5,6,1,0,2,2,17,-27,34.46666667
173,Regular Season,2022-11-14,3,Active,PHO,MIA,Away,L,41.57,11,22,0.5,2,7,0.286,1,2,0.5,2,6,5,3,1,2,5,25,-7,41.56666667
174,Regular Season,2022-11-16,3,Active,PHO,GSW,Home,W,36.63,8,17,0.471,2,5,0.4,9,9,1,0,2,9,0,3,3,2,27,6,36.63333333
175,Regular Season,2022-11-18,3,Active,PHO,UTA,Away,L,41.28,16,31,0.516,2,9,0.222,15,15,1,1,7,10,1,0,1,3,49,-4,41.28333333
176,Regular Season,2022-11-20,3,Active,PHO,NYK,Home,W,29.52,7,17,0.412,5,8,0.625,1,1,1,1,4,3,0,0,0,0,20,13,29.51666667
177,Regular Season,2022-11-22,3,Active,PHO,LAL,Home,W,35.45,10,24,0.417,2,6,0.333,3,3,1,1,3,5,0,0,4,6,25,4,35.45
178,Regular Season,2022-11-25,3,Active,PHO,DET,Home,W,35.7,8,17,0.471,2,7,0.286,3,7,0.429,0,7,5,1,1,2,2,21,10,35.7
179,Regular Season,2022-11-26,3,Active,PHO,UTA,Home,W,39.35,8,27,0.296,1,7,0.143,10,11,0.909,4,7,7,0,0,2,3,27,-4,39.35
180,Regular Season,2022-11-28,3,Active,PHO,SAC,Away,W,40.65,17,28,0.607,1,6,0.167,9,9,1,0,8,4,6,0,6,4,44,14,40.65
181,Regular Season,2022-11-30,3,Active,PHO,CHI,Home,W,30.07,20,25,0.8,6,7,0.857,5,6,0.833,0,4,6,1,0,2,3,51,23,30.06666667
182,Regular Season,2022-12-02,3,Active,PHO,HOU,Home,L,33.87,15,25,0.6,4,6,0.667,7,10,0.7,0,4,8,0,0,3,3,41,8,33.86666667
183,Regular Season,2022-12-04,3,Active,PHO,SAS,Away,W,27.8,7,16,0.438,1,3,0.333,5,5,1,0,0,8,0,0,2,2,20,26,27.8
184,Regular Season,2022-12-05,3,Active,PHO,DAL,Away,L,30.03,4,13,0.308,1,2,0.5,2,2,1,0,2,5,0,0,1,4,11,-18,30.03333333
185,Regular Season,2022-12-07,3,Active,PHO,BOS,Home,L,24.62,6,17,0.353,1,6,0.167,4,4,1,1,4,3,0,1,2,5,17,-40,24.61666667
186,Regular Season,2022-12-09,3,Active,PHO,NOP,Away,L,36,5,17,0.294,2,8,0.25,2,4,0.5,0,2,7,1,0,3,4,14,-18,36
187,Regular Season,2022-12-11,3,Inactive,PHO,NOP,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,Regular Season,2022-12-13,3,Inactive,PHO,HOU,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,Regular Season,2022-12-15,3,Active,PHO,LAC,Away,W,34.88,6,22,0.273,1,9,0.111,1,1,1,1,3,4,1,0,2,1,14,4,34.88333333
190,Regular Season,2022-12-17,3,Active,PHO,NOP,Home,W,42.45,21,35,0.6,6,12,0.5,10,15,0.667,1,5,5,0,0,2,3,58,11,42.45
191,Regular Season,2022-12-19,3,Inactive,PHO,LAL,Home,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,Regular Season,2022-12-20,3,Inactive,PHO,WAS,Home,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,Regular Season,2022-12-23,3,Inactive,PHO,MEM,Home,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,Regular Season,2022-12-25,3,Active,PHO,DEN,Away,L,4.03,1,2,0.5,0,0,NULL,0,0,NULL,0,0,0,0,0,0,0,2,-9,4.033333333
195,Regular Season,2022-12-27,3,Inactive,PHO,MEM,Away,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,Regular Season,2022-12-28,3,Inactive,PHO,WAS,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,Regular Season,2022-12-30,3,Inactive,PHO,TOR,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
198,Regular Season,2023-01-02,3,Inactive,PHO,NYK,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,Regular Season,2023-01-04,3,Inactive,PHO,CLE,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,Regular Season,2023-01-06,3,Inactive,PHO,MIA,Home,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,Regular Season,2023-01-08,3,Inactive,PHO,CLE,Home,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,Regular Season,2023-01-10,3,Inactive,PHO,GSW,Away,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,Regular Season,2023-01-11,3,Inactive,PHO,DEN,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,Regular Season,2023-01-13,3,Inactive,PHO,MIN,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,Regular Season,2023-01-16,3,Inactive,PHO,MEM,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,Regular Season,2023-01-19,3,Inactive,PHO,BRK,Home,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207,Regular Season,2023-01-21,3,Inactive,PHO,IND,Home,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,Regular Season,2023-01-22,3,Inactive,PHO,MEM,Home,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,Regular Season,2023-01-24,3,Inactive,PHO,CHO,Home,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210,Regular Season,2023-01-26,3,Inactive,PHO,DAL,Home,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
211,Regular Season,2023-01-28,3,Inactive,PHO,SAS,Away,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,Regular Season,2023-01-30,3,Inactive,PHO,TOR,Home,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,Regular Season,2023-02-01,3,Inactive,PHO,ATL,Home,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,Regular Season,2023-02-03,3,Inactive,PHO,BOS,Away,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,Regular Season,2023-02-04,3,Inactive,PHO,DET,Away,W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216,Regular Season,2023-02-07,3,Active,PHO,BRK,Away,W,25.58,6,15,0.4,2,8,0.25,5,7,0.714,0,4,6,0,0,2,5,19,-3,25.58333333
217,Regular Season,2023-02-09,3,Inactive,PHO,ATL,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218,Regular Season,2023-02-10,3,Active,PHO,IND,Away,W,26.23,7,18,0.389,3,9,0.333,4,4,1,0,4,5,1,0,4,4,21,11,26.23333333
219,Regular Season,2023-02-14,3,Active,PHO,SAC,Home,W,29.23,13,20,0.65,0,0,NULL,6,7,0.857,1,4,2,2,0,1,4,32,22,29.23333333
220,Regular Season,2023-02-16,3,Active,PHO,LAC,Home,L,34.68,6,16,0.375,1,6,0.167,6,7,0.857,0,3,9,0,1,5,5,19,-3,34.68333333
221,Regular Season,2023-02-24,3,Active,PHO,OKC,Home,W,36,9,21,0.429,1,7,0.143,6,6,1,2,4,8,0,0,3,1,25,-6,36
222,Regular Season,2023-02-26,3,Active,PHO,MIL,Away,L,38.3,9,21,0.429,1,5,0.2,5,9,0.556,1,3,8,0,0,4,2,24,-1,38.3
223,Regular Season,2023-03-01,3,Active,PHO,CHO,Away,W,33.02,15,26,0.577,3,7,0.429,4,6,0.667,2,4,7,0,2,1,1,37,9,33.01666667
224,Regular Season,2023-03-03,3,Active,PHO,CHI,Away,W,35.85,12,24,0.5,6,10,0.6,5,6,0.833,2,3,6,1,1,0,3,35,23,35.85
225,Regular Season,2023-03-05,3,Active,PHO,DAL,Away,W,39.95,15,25,0.6,1,3,0.333,5,6,0.833,2,3,10,1,0,1,4,36,17,39.95
226,Regular Season,2023-03-08,3,Active,PHO,OKC,Home,W,27.52,17,23,0.739,6,10,0.6,4,5,0.8,0,3,4,0,1,3,4,44,33,27.51666667
227,Regular Season,2023-03-11,3,Active,PHO,SAC,Home,L,38.05,11,19,0.579,2,6,0.333,4,4,1,1,2,8,4,0,4,5,28,-5,38.05
228,Regular Season,2023-03-13,3,Active,PHO,GSW,Away,L,35.25,12,20,0.6,0,2,0,8,10,0.8,2,2,1,2,0,2,4,32,-14,35.25
229,Regular Season,2023-03-14,3,Active,PHO,MIL,Home,L,43.13,13,27,0.481,1,3,0.333,3,3,1,1,3,3,2,0,5,4,30,-7,43.13333333
230,Regular Season,2023-03-16,3,Active,PHO,ORL,Home,W,36.32,7,17,0.412,2,5,0.4,3,3,1,2,3,2,0,0,4,3,19,6,36.31666667
231,Regular Season,2023-03-19,3,Active,PHO,OKC,Away,L,36.37,18,28,0.643,3,7,0.429,7,8,0.875,0,3,1,1,0,3,5,46,-5,36.36666667
232,Regular Season,2023-03-22,3,Active,PHO,LAL,Away,L,40.55,11,16,0.688,1,3,0.333,10,12,0.833,0,6,5,0,0,7,4,33,0,40.55
233,Regular Season,2023-03-24,3,Active,PHO,SAC,Away,L,33.02,10,16,0.625,0,1,0,12,14,0.857,1,7,5,0,0,2,4,32,-13,33.01666667
234,Regular Season,2023-03-25,3,Active,PHO,PHI,Home,W,31.65,9,18,0.5,2,4,0.5,9,9,1,0,3,5,0,1,4,2,29,8,31.65
235,Regular Season,2023-03-27,3,Active,PHO,UTA,Away,W,33.52,7,19,0.368,2,6,0.333,8,8,1,4,3,5,2,1,4,3,24,10,33.51666667
236,Regular Season,2023-03-29,3,Active,PHO,MIN,Home,W,36.35,8,18,0.444,1,4,0.25,12,15,0.8,1,2,5,4,0,3,4,29,12,36.35
237,Regular Season,2023-03-31,3,Active,PHO,DEN,Home,W,35.07,9,20,0.45,2,9,0.222,7,8,0.875,0,2,6,1,0,4,2,27,NULL,35.06666667
238,Regular Season,2023-04-02,3,Active,PHO,OKC,Away,W,36.95,8,14,0.571,1,5,0.2,5,5,1,1,4,10,1,0,5,4,22,5,36.95
239,Regular Season,2023-04-04,3,Active,PHO,SAS,Home,W,32.88,9,21,0.429,2,10,0.2,7,8,0.875,0,7,3,3,0,2,2,27,5,32.88333333
240,Regular Season,2023-04-06,3,Active,PHO,DEN,Home,W,37.47,3,12,0.25,1,5,0.2,8,8,1,0,1,8,0,0,2,3,15,10,37.46666667
241,Regular Season,2023-04-07,3,Inactive,PHO,LAL,Away,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,Regular Season,2023-04-09,3,Inactive,PHO,LAC,Home,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
243,Playoffs,2023-04-16,1,Active,PHO,LAC,Home,L ,44.52,7,15,0.467,3,7,0.429,10,10,1,1,8,11,1,2,1,4,27,4,44.51666667
244,Playoffs,2023-04-18,1,Active,PHO,LAC,Home,W ,44.43,10,19,0.526,0,4,0,5,6,0.833,1,5,5,1,2,5,2,25,10,44.43333333
245,Playoffs,2023-04-20,1,Active,PHO,LAC,Away,W ,41.05,8,15,0.533,1,3,0.333,11,11,1,0,6,5,2,0,6,0,28,1,41.05
246,Playoffs,2023-04-22,1,Active,PHO,LAC,Away,W ,44.55,9,17,0.529,3,4,0.75,10,11,0.909,1,10,6,0,0,3,3,31,12,44.55
247,Playoffs,2023-04-25,1,Active,PHO,LAC,Home,W ,44.23,10,19,0.526,4,6,0.667,7,7,1,0,6,4,1,1,1,3,31,13,44.23333333
248,Playoffs,2023-04-29,1,Active,PHO,DEN,Away,L ,36.07,12,19,0.632,1,3,0.333,4,4,1,1,13,1,1,3,7,1,29,-20,36.06666667
249,Playoffs,2023-05-01,1,Active,PHO,DEN,Away,L ,44.38,10,27,0.37,2,12,0.167,2,2,1,1,7,3,1,2,2,4,24,-4,44.38333333
250,Playoffs,2023-05-05,1,Active,PHO,DEN,Home,W ,43.35,12,31,0.387,1,5,0.2,14,16,0.875,0,9,8,0,2,0,4,39,11,43.35
251,Playoffs,2023-05-07,1,Active,PHO,DEN,Home,W ,43.95,11,19,0.579,2,4,0.5,12,13,0.923,0,11,6,2,1,5,2,36,0,43.95
252,Playoffs,2023-05-09,1,Active,PHO,DEN,Away,L ,41.08,10,24,0.417,0,3,0,6,9,0.667,2,9,7,0,1,5,4,26,-19,41.08333333
253,Playoffs,2023-05-11,1,Active,PHO,DEN,Home,L ,36.08,8,19,0.421,0,0,NULL,7,7,1,0,5,5,0,1,4,2,23,-13,36.08333333
254,Playoffs,2023-04-16,3,Active,PHO,LAC,Home,L ,43.03,10,19,0.526,0,3,0,6,8,0.75,1,0,3,4,3,5,3,26,-6,43.03333333
255,Playoffs,2023-04-18,3,Active,PHO,LAC,Home,W ,44.8,14,22,0.636,4,7,0.571,6,6,1,0,1,9,1,0,3,4,38,15,44.8
256,Playoffs,2023-04-20,3,Active,PHO,LAC,Away,W ,44.52,18,29,0.621,3,7,0.429,6,7,0.857,1,5,3,3,2,0,2,45,3,44.51666667
257,Playoffs,2023-04-22,3,Active,PHO,LAC,Away,W ,41.45,10,21,0.476,3,6,0.5,7,8,0.875,3,6,7,3,0,4,1,30,5,41.45
258,Playoffs,2023-04-25,3,Active,PHO,LAC,Home,W ,41.65,19,27,0.704,4,7,0.571,5,6,0.833,2,6,10,2,0,3,4,47,11,41.65
259,Playoffs,2023-04-29,3,Active,PHO,DEN,Away,L ,40.1,10,19,0.526,0,1,0,7,8,0.875,2,2,8,1,2,3,1,27,-18,40.1
260,Playoffs,2023-05-01,3,Active,PHO,DEN,Away,L ,44.07,14,29,0.483,4,8,0.5,3,3,1,0,5,6,0,0,2,4,35,-7,44.06666667
261,Playoffs,2023-05-05,3,Active,PHO,DEN,Home,W ,41.62,20,25,0.8,5,8,0.625,2,2,1,0,6,9,3,1,3,5,47,7,41.61666667
262,Playoffs,2023-05-07,3,Active,PHO,DEN,Home,W ,40.48,14,18,0.778,3,4,0.75,5,6,0.833,3,3,12,1,0,5,5,36,-1,40.48333333
263,Playoffs,2023-05-09,3,Active,PHO,DEN,Away,L ,40.52,8,19,0.421,4,7,0.571,8,9,0.889,0,6,4,0,0,2,4,28,-19,40.51666667
264,Playoffs,2023-05-11,3,Active,PHO,DEN,Home,L ,35.53,4,13,0.308,1,3,0.333,3,4,0.75,0,1,8,1,1,2,4,12,-27,35.53333333
